Customer_ID,Age,Income,Gender,Region,Marketing_Channel,Campaign_Type,Device_Type,Ad_Spend,Website_Visits,Email_Clicks,Time_on_Site_Minutes,Past_Purchases,Discount_Offered,Purchased
34,45,63170.95,Male,East,Social Media,Seasonal Promo,Mobile,173.71,11,5,6.51,3,10,1
35,33,75939.86,Female,East,Search Ads,Brand Awareness,Tablet,233.14,9,7,3.71,1,15,1
36,32,54365.5,Female,North,Display Ads,Product Launch,Tablet,159.54,11,6,5.52,2,20,1
37,64,80266.71,Female,West,Display Ads,Product Launch,Desktop,245.5,10,3,1.66,1,15,1
38,68,79391.18,Female,North,Display Ads,Product Launch,Mobile,230.79,10,4,7.16,4,0,0
39,61,84955.99,Female,East,Social Media,Seasonal Promo,Desktop,268.02,13,2,1.35,1,5,0
40,69,64578.65,Male,South,Display Ads,Seasonal Promo,Tablet,286.69,9,2,4.32,3,15,1
41,20,68810.88,Female,South,Display Ads,Product Launch,Mobile,287.02,11,4,3.31,2,15,1
42,54,81212.81,Female,East,Social Media,Product Launch,Tablet,140.72,6,3,7.39,2,0,0
43,68,66710.91,Female,West,Social Media,Product Launch,Tablet,217.21,13,2,3.39,1,0,0
44,24,52481.49,Female,East,Search Ads,Brand Awareness,Desktop,164.11,7,3,7.97,1,20,0
45,38,53271.86,Male,North,Display Ads,Product Launch,Tablet,364.01,8,4,7.24,2,5,0
46,26,63578.32,Female,West,Search Ads,Brand Awareness,Mobile,230.7,14,4,0.48,3,10,1
47,56,40641.58,Female,West,Email,Product Launch,Mobile,270.82,10,3,8.99,0,0,0
48,35,57851.12,Male,North,Email,Seasonal Promo,Desktop,221.77,13,2,2.16,1,5,1
49,21,76448.21,Male,West,Email,Product Launch,Desktop,68.23,15,3,4.55,6,15,1
50,42,27131.19,Female,East,Email,Brand Awareness,Mobile,160.82,12,1,6.36,1,10,0
51,31,83017.23,Male,East,Social Media,Product Launch,Desktop,165.72,8,4,6.37,2,5,0
52,67,76835.61,Female,South,Search Ads,Brand Awareness,Tablet,180.49,10,2,5.77,2,10,0
53,26,53103.53,Female,North,Search Ads,Product Launch,Mobile,217.98,11,3,5.23,0,5,0
54,43,68150.86,Male,West,Social Media,Brand Awareness,Desktop,225.07,12,3,3.37,2,20,1
55,19,60047.22,Female,West,Email,Brand Awareness,Mobile,68.63,14,2,5.51,0,15,1
56,37,78449.86,Male,West,Search Ads,Product Launch,Tablet,188.15,9,4,4.32,0,15,1
57,45,74740.25,Male,East,Display Ads,Product Launch,Desktop,175.71,8,2,5.42,1,15,0
58,64,38998.94,Female,North,Social Media,Seasonal Promo,Mobile,269.05,10,1,0.37,1,15,0
59,24,68808.94,Female,East,Social Media,Seasonal Promo,Tablet,229.61,9,4,9.89,3,20,1
60,61,56915.58,Male,West,Display Ads,Seasonal Promo,Desktop,190.85,7,2,6.9,1,20,0
61,25,61242.49,Female,East,Email,Brand Awareness,Mobile,211.18,14,5,5.02,2,15,1
62,64,49077.42,Male,West,Email,Brand Awareness,Tablet,115.65,12,5,5.81,2,20,1
63,52,86222.06,Male,West,Search Ads,Seasonal Promo,Tablet,233.07,11,2,6.26,1,0,0
64,31,75600.93,Male,East,Display Ads,Seasonal Promo,Tablet,180.22,11,5,6,4,5,1
65,34,48903.43,Male,West,Search Ads,Product Launch,Tablet,159.63,15,4,6.31,1,0,1
66,53,39980.84,Female,East,Email,Seasonal Promo,Tablet,265.71,13,1,5.58,2,10,0
67,67,54214.91,Female,South,Search Ads,Brand Awareness,Desktop,213.68,10,3,4.54,0,5,0
68,57,66517.54,Female,East,Display Ads,Product Launch,Tablet,166.73,8,4,2.35,2,0,0
69,21,63603.09,Female,South,Display Ads,Seasonal Promo,Desktop,169.78,10,5,4.38,1,5,0
70,19,78796.99,Female,South,Display Ads,Seasonal Promo,Desktop,218.3,12,3,5.65,5,5,1
71,23,71848.8,Female,East,Email,Seasonal Promo,Mobile,214.41,8,4,7.04,4,20,1
72,59,74543.54,Male,North,Social Media,Product Launch,Mobile,201.47,8,6,5.96,0,15,1
73,21,64902.83,Female,North,Social Media,Product Launch,Desktop,139.83,7,1,4.42,3,5,0
74,46,39160.52,Male,East,Social Media,Product Launch,Tablet,147.23,5,2,5.16,2,10,0
75,35,57064.52,Male,East,Search Ads,Seasonal Promo,Tablet,162.58,9,2,2.88,1,5,0
76,43,75901.35,Male,West,Display Ads,Product Launch,Desktop,190.19,13,3,6.04,3,15,1
77,61,59227.16,Female,West,Email,Product Launch,Tablet,197.93,8,2,4.2,1,5,0
78,51,67546.36,Male,East,Social Media,Product Launch,Desktop,192,11,8,2.63,2,15,1
79,27,55218.78,Female,North,Social Media,Product Launch,Mobile,194.29,7,2,4.45,4,20,0
80,53,44552.82,Male,West,Search Ads,Brand Awareness,Tablet,294.06,8,3,5.37,2,20,0
81,31,58149.84,Female,West,Search Ads,Seasonal Promo,Tablet,242.46,9,2,7,3,15,0
82,48,64635.71,Female,North,Social Media,Product Launch,Tablet,259.41,9,6,4.93,4,10,1
83,65,50164.68,Female,East,Display Ads,Brand Awareness,Mobile,223.21,10,5,1.07,3,15,1
84,32,56464.33,Female,North,Display Ads,Brand Awareness,Tablet,203.62,8,7,4.63,1,15,1
85,25,45908.05,Female,South,Search Ads,Seasonal Promo,Desktop,220.5,11,2,4.59,2,5,0
86,31,76788.67,Male,West,Search Ads,Seasonal Promo,Tablet,211.29,13,2,3.18,4,10,1
87,40,55583.16,Female,West,Display Ads,Product Launch,Desktop,240.4,9,1,3.34,0,0,0
88,57,81791.33,Female,West,Search Ads,Seasonal Promo,Tablet,151.24,9,2,7.15,0,20,0
89,38,82931.22,Male,North,Search Ads,Seasonal Promo,Desktop,236.24,12,7,5.72,1,15,1
90,33,58784.31,Female,North,Display Ads,Seasonal Promo,Mobile,208.35,10,1,7.14,2,5,0
91,62,44873.27,Female,East,Display Ads,Seasonal Promo,Tablet,109.65,5,4,6.58,3,20,0
92,35,28711.53,Female,West,Email,Product Launch,Mobile,204.29,6,3,4.85,3,15,0
93,64,37919.44,Female,South,Search Ads,Brand Awareness,Mobile,134.69,12,2,5.73,1,0,0
94,41,39392.48,Female,East,Search Ads,Seasonal Promo,Tablet,173.25,9,2,4.8,3,10,0
95,43,80677.04,Male,North,Email,Brand Awareness,Tablet,192.04,6,2,4.02,0,20,0
96,42,61737.37,Female,South,Search Ads,Brand Awareness,Desktop,124.64,6,1,2.15,2,15,0
97,62,65844.07,Male,East,Search Ads,Brand Awareness,Tablet,197.31,12,3,4.15,2,15,1
98,58,26693.68,Female,North,Social Media,Seasonal Promo,Tablet,203.42,21,4,7.43,4,10,1
99,46,42030.5,Male,South,Social Media,Seasonal Promo,Desktop,237.75,10,2,1.97,4,15,0
100,32,73306.2,Male,East,Social Media,Product Launch,Desktop,177.31,7,2,5.65,2,15,0
101,62,64301.61,Male,South,Email,Seasonal Promo,Tablet,213.72,7,4,2.43,3,5,0
102,18,57791.92,Female,North,Search Ads,Seasonal Promo,Tablet,195.23,9,2,3.61,1,20,0
103,42,68472.64,Female,East,Email,Seasonal Promo,Tablet,179.09,12,3,5.74,2,10,1
104,24,84536.97,Male,North,Email,Brand Awareness,Mobile,116.47,8,5,4.85,2,20,1
105,26,56684.36,Female,West,Search Ads,Product Launch,Mobile,194.42,14,3,6.13,3,5,1
106,41,61040.55,Female,West,Display Ads,Brand Awareness,Tablet,237.23,9,2,4.16,4,20,1
107,18,62888.95,Male,South,Display Ads,Product Launch,Desktop,153.31,13,1,5.02,1,5,0
108,61,95881.64,Female,West,Search Ads,Seasonal Promo,Tablet,189.11,8,2,4.42,1,0,0
109,25,28509.66,Male,North,Display Ads,Seasonal Promo,Tablet,196.48,9,5,4.57,2,15,1
110,41,70248.35,Female,South,Social Media,Brand Awareness,Mobile,255.12,8,1,6.99,2,20,0
111,28,58277.97,Male,East,Search Ads,Brand Awareness,Tablet,201.51,7,3,6.33,2,15,0
112,68,68501.58,Female,North,Email,Brand Awareness,Tablet,214.4,10,8,2.31,4,0,1
113,34,50139.41,Female,East,Social Media,Product Launch,Mobile,199.57,8,2,6.07,1,20,0
114,25,59265.52,Male,East,Email,Brand Awareness,Mobile,175.38,8,6,7.02,2,10,1
115,52,70671.16,Male,East,Display Ads,Seasonal Promo,Desktop,143.28,10,4,3.9,5,20,1
116,52,106693.65,Female,East,Search Ads,Product Launch,Desktop,185.75,12,3,4.28,1,5,1
117,50,72120.54,Male,North,Social Media,Product Launch,Desktop,219.67,4,6,3.61,1,15,0
118,22,47279.02,Male,West,Search Ads,Seasonal Promo,Tablet,206.15,6,2,4.12,0,20,0
119,59,53643.6,Male,North,Social Media,Brand Awareness,Desktop,273.98,10,6,4.76,0,15,1
120,56,53198.79,Male,West,Social Media,Brand Awareness,Mobile,247.29,10,3,5.83,2,5,0
121,58,33065.35,Male,East,Social Media,Seasonal Promo,Desktop,262.03,10,1,5.15,3,10,0
122,45,55048.65,Female,West,Search Ads,Seasonal Promo,Tablet,98.39,18,1,5.92,2,20,1
123,24,70992.44,Male,East,Social Media,Seasonal Promo,Tablet,278.97,9,5,6.15,3,20,1
124,26,40886.52,Male,South,Social Media,Seasonal Promo,Desktop,213.34,13,1,5.54,2,20,1
125,25,75727.24,Male,East,Search Ads,Product Launch,Tablet,220.45,15,3,8.7,1,10,1
126,29,67316.62,Male,West,Email,Product Launch,Tablet,244.8,9,2,3.99,1,5,0
127,51,48986.5,Female,South,Display Ads,Brand Awareness,Tablet,201.07,10,3,8.14,1,20,1
128,50,57877.06,Male,South,Search Ads,Product Launch,Desktop,146.48,4,4,2.31,2,10,0
129,65,83974.83,Female,East,Search Ads,Product Launch,Tablet,272.37,18,2,4.23,2,15,1
130,40,71003.22,Female,North,Social Media,Product Launch,Desktop,161.59,10,3,5.04,4,5,0
131,41,60131.75,Male,West,Search Ads,Seasonal Promo,Desktop,150.71,8,3,4.28,1,10,0
132,54,56434.75,Male,South,Search Ads,Product Launch,Tablet,188.28,6,7,6.83,5,5,1
133,52,61149.14,Female,North,Display Ads,Brand Awareness,Desktop,180.7,11,1,0.98,4,5,0
134,61,52323.55,Female,East,Search Ads,Product Launch,Desktop,200.19,11,4,3.68,1,0,0
135,57,28428.76,Female,East,Social Media,Seasonal Promo,Tablet,195.09,12,2,3.45,3,0,0
136,39,90632.67,Male,East,Display Ads,Product Launch,Tablet,267.36,9,5,-2.18,4,0,0
137,44,62329.87,Female,East,Search Ads,Brand Awareness,Desktop,222.97,14,2,2.25,1,20,1
138,52,65972.21,Male,West,Social Media,Product Launch,Mobile,157.11,10,3,7.94,2,10,0
139,18,59131.38,Female,South,Display Ads,Brand Awareness,Mobile,163.97,9,0,3.96,4,5,0
140,52,48973.25,Female,West,Search Ads,Seasonal Promo,Mobile,180.59,11,2,2.25,1,10,0
141,54,57211.13,Male,South,Social Media,Brand Awareness,Mobile,180.79,13,4,6.4,2,10,1
142,64,36009.08,Male,North,Display Ads,Brand Awareness,Desktop,174.26,9,3,1.33,2,10,0
143,31,94156.3,Female,North,Social Media,Seasonal Promo,Tablet,144.91,13,3,6.89,1,5,0
144,20,41482.32,Male,South,Display Ads,Brand Awareness,Mobile,214.52,9,4,6.97,2,0,0
145,18,44520.51,Male,East,Search Ads,Product Launch,Tablet,177.22,9,1,4.66,5,15,0
146,22,53396.11,Female,North,Email,Product Launch,Mobile,152.41,10,1,5.45,3,5,0
147,43,79321.14,Male,West,Display Ads,Brand Awareness,Mobile,224.27,14,3,9.72,3,0,1
148,31,60217.63,Male,South,Search Ads,Product Launch,Mobile,242.39,9,2,5.13,2,10,0
149,56,41457.96,Female,North,Display Ads,Product Launch,Tablet,187.72,12,4,9.47,1,10,1
150,44,78815.08,Female,South,Email,Seasonal Promo,Tablet,289.07,13,3,5.49,2,0,0
151,26,70965.01,Male,East,Social Media,Brand Awareness,Mobile,310.78,11,2,5.2,2,15,1
152,32,68076.52,Male,South,Email,Product Launch,Tablet,224.84,9,1,0.33,3,0,0
153,32,70736.01,Male,North,Email,Brand Awareness,Mobile,176.56,9,1,4.39,1,0,0
154,43,95915.43,Female,South,Social Media,Brand Awareness,Desktop,213.45,2,3,5.03,5,20,0
155,59,92776.42,Female,North,Email,Product Launch,Tablet,138.78,8,5,8.46,2,5,0
156,30,49699.27,Male,North,Search Ads,Seasonal Promo,Mobile,156.41,14,2,6.36,1,10,1
157,68,84358.27,Male,North,Display Ads,Seasonal Promo,Desktop,115.87,8,5,6.53,0,0,0
158,49,65747.52,Male,West,Email,Brand Awareness,Desktop,168.58,9,3,4.59,1,20,0
159,56,67486.44,Female,East,Display Ads,Seasonal Promo,Mobile,138.37,9,2,7.11,2,20,0
160,66,34615.94,Female,East,Display Ads,Product Launch,Desktop,231.2,8,1,7.92,0,15,0
161,69,57444.21,Male,South,Social Media,Product Launch,Desktop,162.54,6,2,3.94,3,15,0
162,49,47807.65,Male,South,Email,Seasonal Promo,Mobile,213.83,6,3,4.92,3,20,0
163,21,72420.88,Male,North,Social Media,Seasonal Promo,Desktop,237.4,9,6,4.57,2,5,1
164,47,76066.21,Male,East,Social Media,Brand Awareness,Desktop,258.57,14,4,3.87,2,20,1
165,54,28882.7,Female,South,Display Ads,Seasonal Promo,Mobile,182.33,10,5,2.71,3,20,1
166,40,59669.48,Male,South,Search Ads,Brand Awareness,Mobile,215.53,10,4,7.58,0,20,1
167,56,76827.92,Male,East,Display Ads,Product Launch,Desktop,217.13,13,4,6.12,2,15,1
168,62,57199.82,Female,North,Social Media,Seasonal Promo,Tablet,263.6,12,1,4.78,7,5,0
169,32,70935.95,Male,South,Email,Brand Awareness,Mobile,239.18,9,2,2.3,5,0,0
170,60,65267.48,Male,North,Search Ads,Brand Awareness,Tablet,265.17,7,3,6.89,1,15,0
171,46,65124.9,Male,East,Search Ads,Brand Awareness,Mobile,116.77,10,7,5.89,2,0,1
172,53,55930.28,Male,East,Email,Brand Awareness,Tablet,166.79,10,4,4.68,2,20,1
173,30,41751.29,Male,South,Email,Product Launch,Mobile,251.59,12,3,0.94,3,10,1
174,49,43177.05,Male,South,Search Ads,Seasonal Promo,Desktop,229.04,7,0,1.5,0,10,0
175,24,70640.29,Female,East,Social Media,Brand Awareness,Desktop,193.75,6,1,3.15,4,0,0
176,68,60291.87,Male,North,Search Ads,Seasonal Promo,Tablet,176.3,12,4,2.67,1,10,1
177,39,57922.32,Female,North,Search Ads,Seasonal Promo,Tablet,239.43,11,2,6.41,1,15,0
178,45,53641.65,Female,West,Search Ads,Product Launch,Mobile,101.02,8,0,6.16,2,20,0
179,19,55422.17,Female,East,Social Media,Seasonal Promo,Mobile,239.61,11,7,7.32,0,20,1
180,59,75703.68,Female,South,Email,Product Launch,Tablet,204.53,14,4,2.99,2,5,1
181,62,54971.34,Male,East,Email,Product Launch,Tablet,175.56,10,2,4.32,3,15,0
182,23,39884.03,Male,South,Email,Brand Awareness,Desktop,225.12,7,1,5.17,3,20,0
183,45,71154.78,Male,North,Social Media,Product Launch,Tablet,180.7,13,0,5.7,4,15,0
184,45,56926.85,Male,South,Social Media,Brand Awareness,Desktop,201.45,8,3,6.93,1,10,0
185,61,60470.94,Female,West,Email,Product Launch,Tablet,197.69,9,1,7.83,3,20,0
186,61,84113.67,Female,North,Display Ads,Product Launch,Desktop,237.23,10,2,9.31,2,10,0
187,37,59691.59,Female,West,Display Ads,Seasonal Promo,Desktop,207.96,14,6,3.78,6,5,1
188,47,64337.76,Male,East,Email,Brand Awareness,Desktop,104.54,8,1,5.48,1,10,0
189,28,42316.15,Female,South,Display Ads,Seasonal Promo,Mobile,130.4,9,5,3.4,2,10,1
190,45,56704.96,Male,North,Display Ads,Product Launch,Desktop,145.79,8,2,7.11,4,5,0
191,42,69142.89,Female,South,Email,Brand Awareness,Tablet,222.83,14,3,3.94,1,0,0
192,56,36669.39,Male,West,Email,Product Launch,Tablet,227.84,8,3,4.82,1,5,0
193,50,63012.68,Female,North,Social Media,Product Launch,Tablet,283.52,9,4,5.59,1,5,0
194,18,61511.87,Female,West,Display Ads,Seasonal Promo,Mobile,149.28,6,0,4.31,0,0,0
195,44,60619.31,Male,North,Display Ads,Brand Awareness,Desktop,265.46,11,1,7.76,0,20,0
196,69,75557.38,Female,East,Email,Brand Awareness,Mobile,103.11,11,2,3.38,2,20,0
197,30,65016.58,Female,East,Search Ads,Brand Awareness,Desktop,200.89,9,1,6.89,2,10,0
198,58,82171.08,Male,South,Email,Product Launch,Tablet,212.26,12,2,4.35,1,20,0
199,20,45096.16,Female,West,Social Media,Brand Awareness,Desktop,212.08,10,2,0.94,1,20,1
200,56,62038.87,Female,West,Search Ads,Product Launch,Mobile,184.52,7,0,4.78,4,10,0
201,23,61267,Female,North,Search Ads,Product Launch,Mobile,205.89,7,2,5.67,0,5,0
202,25,43961.18,Female,East,Search Ads,Product Launch,Mobile,138.24,9,0,7.81,0,5,0
203,44,74344.43,Male,South,Social Media,Brand Awareness,Mobile,243.26,9,3,8.37,1,10,0
204,26,94870.1,Male,East,Display Ads,Seasonal Promo,Tablet,212.49,11,4,5.97,0,15,1
205,54,59744.91,Female,West,Email,Product Launch,Mobile,218.11,8,3,1.29,1,20,0
206,50,67575.32,Male,South,Social Media,Seasonal Promo,Mobile,186.05,10,4,5.61,0,20,1
207,68,61267.78,Female,East,Social Media,Brand Awareness,Mobile,183.6,10,2,3.77,3,15,0
208,59,49296.23,Male,East,Search Ads,Brand Awareness,Tablet,226.24,11,5,4.68,2,5,1
209,61,32688.6,Female,North,Search Ads,Brand Awareness,Desktop,279.5,9,3,2.48,5,15,1
210,41,49413.4,Female,North,Social Media,Brand Awareness,Tablet,130.32,8,7,4.16,1,10,1
211,32,39120.62,Male,West,Display Ads,Brand Awareness,Tablet,127.8,11,2,4.03,0,15,0
212,49,85561.53,Female,East,Search Ads,Seasonal Promo,Tablet,213.31,8,2,5.23,2,5,0
213,49,58273.35,Female,North,Social Media,Brand Awareness,Desktop,183.39,9,5,5.22,2,10,1
214,41,54811.21,Female,East,Search Ads,Brand Awareness,Mobile,206.21,13,3,2.85,1,20,1
215,58,73337.31,Female,South,Email,Brand Awareness,Tablet,198.81,13,3,1.69,3,10,1
216,69,43173.73,Male,East,Email,Brand Awareness,Mobile,231.1,8,2,1.72,2,5,0
217,66,48497.04,Male,East,Email,Brand Awareness,Mobile,185.69,12,1,1.91,3,20,1
218,66,61021.08,Male,West,Search Ads,Product Launch,Desktop,139.59,10,1,5.48,1,20,0
219,69,75431.53,Male,South,Search Ads,Product Launch,Desktop,160.51,14,4,5.6,4,10,1
220,29,67525.28,Female,South,Display Ads,Seasonal Promo,Tablet,191.98,9,6,5.83,1,0,1
221,56,63724.88,Female,North,Email,Brand Awareness,Desktop,137.25,10,2,2.18,3,20,1
222,19,61171.77,Female,South,Display Ads,Seasonal Promo,Desktop,198.16,10,2,3.39,5,10,0
223,20,66003.54,Female,West,Social Media,Seasonal Promo,Desktop,203.04,9,6,3.28,0,0,0
224,66,63024.79,Male,North,Social Media,Brand Awareness,Mobile,182.11,11,4,5.08,1,15,1
225,54,44550.42,Male,East,Email,Brand Awareness,Desktop,210.46,6,7,5.29,0,10,1
226,66,60691.19,Male,South,Display Ads,Product Launch,Tablet,119.29,3,2,6.59,2,15,0
227,34,43894.67,Female,East,Search Ads,Brand Awareness,Desktop,152.34,12,0,4.68,2,5,0
228,66,61216.24,Female,North,Display Ads,Product Launch,Tablet,142.87,11,5,11.19,1,0,1
229,19,52790.28,Female,South,Social Media,Seasonal Promo,Tablet,243.99,12,3,6.83,4,5,1
230,19,98090.72,Female,North,Display Ads,Seasonal Promo,Desktop,315.31,14,3,3.87,3,0,0
231,45,59401.58,Male,North,Social Media,Product Launch,Mobile,155.96,6,2,3.8,1,10,0
232,40,38936.41,Male,South,Social Media,Product Launch,Tablet,188.24,12,2,6.07,0,15,0
233,54,57987.3,Male,South,Display Ads,Brand Awareness,Tablet,165.33,12,4,3.87,3,15,1
234,49,67790.38,Female,North,Search Ads,Product Launch,Tablet,211.06,10,6,3.48,2,0,1
235,50,85100.46,Male,West,Social Media,Product Launch,Desktop,169.58,7,3,4.1,1,10,0
236,18,51158.21,Female,South,Display Ads,Brand Awareness,Tablet,214.14,13,4,5.4,4,10,1
237,36,36263.58,Male,North,Social Media,Seasonal Promo,Desktop,233.25,9,8,5.55,1,20,1
238,19,72252.56,Male,East,Email,Product Launch,Tablet,138.81,17,3,1.02,2,5,1
239,61,39291.02,Female,East,Search Ads,Brand Awareness,Mobile,213.58,12,4,3.79,6,15,1
240,43,53457.67,Female,South,Email,Brand Awareness,Tablet,110.3,10,0,7.16,3,15,0
241,49,56135.69,Female,South,Social Media,Product Launch,Desktop,187.17,8,5,9.65,1,5,0
242,23,58955.5,Male,East,Search Ads,Seasonal Promo,Desktop,183.82,10,3,4.93,4,0,0
243,49,70337.47,Male,North,Display Ads,Brand Awareness,Tablet,188.54,11,3,5.38,2,5,0
244,21,49745.49,Male,North,Display Ads,Product Launch,Desktop,184.4,14,1,4.79,1,20,0
245,28,55894.06,Male,North,Search Ads,Seasonal Promo,Mobile,175.25,7,4,7.63,3,10,0
246,34,59785.94,Female,West,Email,Product Launch,Desktop,186.71,12,4,3.53,5,0,1
247,55,62243.97,Male,South,Email,Brand Awareness,Tablet,211.91,12,6,7.35,2,0,1
248,41,61467.41,Female,West,Search Ads,Brand Awareness,Mobile,213.31,10,2,7.77,3,10,0
249,22,66540.09,Male,West,Display Ads,Brand Awareness,Desktop,205.76,6,2,7.06,3,20,0
250,69,72657.59,Female,West,Search Ads,Product Launch,Tablet,171.32,10,1,4.48,2,15,0
251,51,65889.51,Female,West,Email,Brand Awareness,Desktop,254.02,11,2,5.65,1,0,0
252,23,66803.78,Male,North,Social Media,Product Launch,Tablet,276.27,10,0,7.87,0,5,0
253,39,36266.65,Male,South,Display Ads,Seasonal Promo,Desktop,135.58,10,3,6.17,0,0,0
254,28,60753.42,Female,South,Search Ads,Seasonal Promo,Desktop,208.21,6,2,1.31,6,5,0
255,65,67192.61,Male,West,Social Media,Seasonal Promo,Mobile,176.59,11,0,5.17,4,5,0
256,33,70934.12,Female,South,Email,Seasonal Promo,Mobile,246.28,13,4,3.29,3,0,1
257,50,49614.74,Male,East,Display Ads,Brand Awareness,Desktop,199.37,10,2,5.96,0,10,0
258,26,50114.41,Male,North,Search Ads,Brand Awareness,Tablet,202.66,12,2,5.45,1,10,0
259,23,51388.49,Male,South,Email,Product Launch,Tablet,224.75,9,3,3.11,2,5,0
260,33,68046.21,Male,North,Search Ads,Seasonal Promo,Desktop,185.12,12,1,6.55,2,20,0
261,46,75508.22,Male,East,Search Ads,Seasonal Promo,Desktop,283.87,12,1,4.87,2,5,0
262,20,53888.1,Female,North,Display Ads,Product Launch,Mobile,225.49,5,6,4.72,2,20,1
263,37,73619.43,Male,East,Email,Product Launch,Desktop,246.58,7,2,4.68,0,10,0
264,53,61852.2,Female,West,Email,Product Launch,Desktop,188.97,4,0,4.93,1,5,0
265,36,58135.71,Female,South,Social Media,Product Launch,Tablet,193.86,15,6,5.23,3,5,1
266,43,56829.24,Female,West,Email,Seasonal Promo,Mobile,240.58,8,2,6.22,1,15,0
267,20,71199.17,Male,South,Email,Brand Awareness,Mobile,235.56,9,4,4.68,4,5,0
268,36,64883.67,Female,West,Display Ads,Seasonal Promo,Desktop,137.57,15,1,5.93,2,15,1
269,37,94137.38,Female,East,Social Media,Product Launch,Mobile,206.38,11,3,6.77,1,15,1
270,49,47216.63,Female,South,Display Ads,Brand Awareness,Tablet,223.69,9,5,7.71,5,5,1
271,24,67771.53,Female,West,Email,Seasonal Promo,Desktop,193.48,11,2,3.36,3,5,0
272,69,52061.98,Female,North,Social Media,Product Launch,Desktop,218.95,9,4,3.15,1,5,0
273,58,46960.7,Female,North,Display Ads,Brand Awareness,Tablet,195.6,7,1,2.45,1,10,0
274,50,59836.99,Male,West,Social Media,Brand Awareness,Mobile,87.66,10,2,4.2,0,15,0
275,57,62060.29,Female,East,Email,Product Launch,Mobile,134.46,7,5,6.54,4,10,0
276,56,103772.6,Female,West,Social Media,Brand Awareness,Tablet,248.75,11,4,1.32,4,5,1
277,35,57237.81,Male,North,Social Media,Seasonal Promo,Tablet,187.78,9,1,3.37,1,15,0
278,57,43047.32,Female,South,Social Media,Seasonal Promo,Tablet,209.48,15,1,3.04,2,15,1
